Time,Open,High,Low,Close,Volume
2020-03-03T23:30:00.000000000Z,1.11821,1.11828,1.11764,1.11775,484
2020-03-04T00:00:00.000000000Z,1.11775,1.11806,1.11693,1.11719,1072
2020-03-04T00:30:00.000000000Z,1.11720,1.11753,1.11693,1.11735,847
2020-03-04T01:00:00.000000000Z,1.11736,1.11754,1.11638,1.11666,1189
2020-03-04T01:30:00.000000000Z,1.11667,1.11706,1.11629,1.11671,915
2020-03-04T02:00:00.000000000Z,1.11673,1.11710,1.11620,1.11706,839
2020-03-04T02:30:00.000000000Z,1.11707,1.11719,1.11662,1.11662,752
2020-03-04T03:00:00.000000000Z,1.11660,1.11674,1.11610,1.11673,894
2020-03-04T03:30:00.000000000Z,1.11672,1.11672,1.11604,1.11616,801
2020-03-04T04:00:00.000000000Z,1.11617,1.11628,1.11563,1.11566,640
2020-03-04T04:30:00.000000000Z,1.11567,1.11640,1.11560,1.11619,460
2020-03-04T05:00:00.000000000Z,1.11618,1.11644,1.11612,1.11625,404
2020-03-04T05:30:00.000000000Z,1.11624,1.11636,1.11570,1.11577,552
2020-03-04T06:00:00.000000000Z,1.11577,1.11592,1.11441,1.11484,1141
2020-03-04T06:30:00.000000000Z,1.11486,1.11588,1.11477,1.11542,1254
2020-03-04T07:00:00.000000000Z,1.11540,1.11589,1.11479,1.11583,2826
2020-03-04T07:30:00.000000000Z,1.11585,1.11607,1.11455,1.11602,3025
2020-03-04T08:00:00.000000000Z,1.11601,1.11788,1.11591,1.11766,4862
2020-03-04T08:30:00.000000000Z,1.11765,1.11883,1.11627,1.11659,4863
2020-03-04T09:00:00.000000000Z,1.11662,1.11734,1.11558,1.11660,3481
2020-03-04T09:30:00.000000000Z,1.11659,1.11689,1.11527,1.11575,2828
2020-03-04T10:00:00.000000000Z,1.11573,1.11678,1.11559,1.11610,4241
2020-03-04T10:30:00.000000000Z,1.11611,1.11612,1.11369,1.11373,3522
2020-03-04T11:00:00.000000000Z,1.11374,1.11532,1.11373,1.11522,2343
2020-03-04T11:30:00.000000000Z,1.11525,1.11555,1.11432,1.11482,2800
2020-03-04T12:00:00.000000000Z,1.11484,1.11486,1.11325,1.11335,3146
2020-03-04T12:30:00.000000000Z,1.11334,1.11344,1.11104,1.11128,3901
2020-03-04T13:00:00.000000000Z,1.11130,1.11327,1.11130,1.11325,4155
2020-03-04T13:30:00.000000000Z,1.11327,1.11335,1.11221,1.11260,2455
2020-03-04T14:00:00.000000000Z,1.11261,1.11278,1.11033,1.11066,4258
2020-03-04T14:30:00.000000000Z,1.11065,1.11231,1.10962,1.11197,5550
2020-03-04T15:00:00.000000000Z,1.11201,1.11283,1.11013,1.11149,7333
2020-03-04T15:30:00.000000000Z,1.11148,1.11432,1.11139,1.11401,6166
2020-03-04T16:00:00.000000000Z,1.11401,1.11461,1.11285,1.11297,4842
